                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.37314,                0.47953,                 0.3417,                0.89436,                0.87843,                0.58353,                0.70669,                0.56593,                0.87504,                0.58464,                0.71132,                0.55243,                0.40302,                0.72682,                0.56363,                0.94547,             0.00078595,             0.00078595,             0.00078595
                     78,                0.37036,                0.47548,                0.33144,                0.89677,                0.59571,                 0.6485,                0.62755,                0.51333,                0.60365,                0.65549,                0.63234,                0.49802,                0.42876,                0.73112,                0.61033,                0.96724,             0.00077738,             0.00077738,             0.00077738
                     79,                0.39041,                0.49179,                0.34793,                0.91118,                0.60886,                0.70654,                0.67361,                0.58546,                0.60886,                0.70654,                0.67362,                0.56196,                0.42169,                0.78815,                0.58227,                0.96625,              0.0007688,              0.0007688,              0.0007688
                     80,                0.37327,                0.46901,                0.33614,                0.88893,                0.75492,                0.62801,                0.64828,                0.51063,                0.75384,                0.62707,                0.64551,                0.49017,                0.41711,                0.83225,                0.65827,                0.96923,             0.00076023,             0.00076023,             0.00076023
                     81,                0.37009,                0.48316,                 0.3256,                0.88698,                 0.6469,                0.64395,                0.67512,                 0.5708,                0.64524,                0.64191,                0.67306,                0.55483,                0.42659,                0.97276,                0.57558,                0.98234,             0.00075165,             0.00075165,             0.00075165
                     82,                0.36955,                0.46387,                0.34519,                0.88915,                0.66728,                0.58277,                0.59386,                0.51812,                0.66627,                0.58184,                0.59304,                0.49544,                0.40159,                0.74255,                0.55307,                0.94412,             0.00074308,             0.00074308,             0.00074308
                     83,                0.36427,                0.46577,                0.32078,                0.88202,                0.70956,                0.59684,                0.64078,                0.55066,                0.70851,                 0.5959,                0.64261,                0.53506,                0.38972,                 0.6745,                0.55475,                0.94305,             0.00073451,             0.00073451,             0.00073451
                     84,                  0.366,                0.47399,                0.32114,                0.88755,                0.61495,                0.65179,                0.61943,                0.49576,                0.61308,                0.64992,                 0.6158,                0.48387,                0.41118,                0.83241,                0.56975,                0.96416,             0.00072593,             0.00072593,             0.00072593
                     85,                0.36701,                0.47138,                 0.3212,                0.88362,                0.66796,                0.54941,                 0.6231,                0.54857,                0.66685,                0.54847,                0.62687,                 0.5298,                0.40212,                0.75399,                0.61888,                 0.9609,             0.00071736,             0.00071736,             0.00071736
                     86,                 0.3624,                0.47528,                0.31968,                0.88639,                0.53253,                0.67743,                0.59476,                0.51055,                0.52918,                0.67369,                0.59115,                0.49723,                 0.3842,                0.69967,                0.57303,                0.94017,             0.00070878,             0.00070878,             0.00070878
                     87,                0.36362,                0.46296,                0.30965,                0.88047,                0.67734,                0.59825,                0.59248,                0.49492,                 0.6894,                 0.6079,                0.60032,                0.48507,                0.41023,                0.80679,                0.59785,                0.97041,             0.00070021,             0.00070021,             0.00070021
                     88,                0.36194,                 0.4771,                 0.3112,                0.89312,                0.71057,                0.51781,                0.61212,                0.52279,                0.70832,                0.51594,                0.60984,                0.50655,                0.40895,                0.83951,                0.63766,                0.98361,             0.00069164,             0.00069164,             0.00069164
                     89,                0.36277,                0.45029,                0.32021,                0.89166,                 0.7181,                0.57514,                0.62712,                0.52726,                0.71589,                0.57327,                0.62494,                0.50226,                0.39845,                0.83349,                0.56105,                0.95454,             0.00068306,             0.00068306,             0.00068306
                     90,                0.35969,                  0.474,                 0.3164,                0.88464,                0.67329,                0.61029,                0.62721,                0.51247,                0.67226,                0.60936,                0.62692,                0.49052,                0.42031,                0.92903,                0.55325,                 1.0097,             0.00067449,             0.00067449,             0.00067449
                     91,                0.34847,                0.44818,                0.30967,                0.87149,                0.65775,                0.58325,                0.60552,                0.51397,                0.65674,                0.58231,                0.60461,                0.49806,                0.40391,                 0.9146,                0.54597,                0.97035,             0.00066591,             0.00066591,             0.00066591
                     92,                0.35358,                0.45135,                0.30789,                0.88707,                0.53537,                0.70321,                0.55756,                0.48388,                0.53337,                0.70134,                 0.5537,                0.46787,                0.40751,                0.82234,                 0.6547,                0.96735,             0.00065734,             0.00065734,             0.00065734
                     93,                0.34494,                0.45071,                0.35063,                0.86879,                0.68427,                0.61748,                0.64338,                0.53991,                0.68326,                0.61655,                0.64233,                0.53151,                0.40689,                0.72789,                0.55404,                0.96785,             0.00064877,             0.00064877,             0.00064877
                     94,                0.35165,                0.44028,                 0.2957,                0.87565,                0.68322,                0.62661,                0.66807,                0.53995,                 0.6821,                0.62466,                0.67151,                  0.516,                0.41288,                0.90784,                0.54695,                0.97787,             0.00064019,             0.00064019,             0.00064019
                     95,                0.35684,                0.44958,                0.29813,                0.88024,                0.76665,                0.61891,                0.65724,                0.55195,                0.78042,                0.62725,                0.67678,                0.53648,                 0.4044,                0.89068,                0.53029,                0.98431,             0.00063162,             0.00063162,             0.00063162
                     96,                0.34978,                0.43834,                0.31034,                0.88261,                0.63972,                0.66167,                0.61439,                0.52525,                0.63875,                0.66073,                0.61364,                0.50716,                 0.4055,                0.85184,                  0.552,                0.95849,             0.00062304,             0.00062304,             0.00062304
                     97,                0.34734,                0.44185,                0.29581,                0.87302,                 0.5877,                0.56904,                0.53175,                0.48698,                 0.5877,                0.56904,                0.53028,                 0.4687,                0.41631,                0.91255,                0.60368,                0.98468,             0.00061447,             0.00061447,             0.00061447
                     98,                0.34039,                0.42896,                0.29197,                0.87139,                0.75423,                0.63474,                  0.727,                0.60767,                0.75423,                0.63474,                  0.726,                0.58999,                0.41255,                0.95038,                0.55804,                0.98031,              0.0006059,              0.0006059,              0.0006059
                     99,                0.34457,                0.44587,                0.30173,                0.87798,                0.63964,                0.66915,                0.66251,                0.57329,                0.63771,                0.66727,                0.66493,                0.55927,                0.42306,                0.84854,                0.52462,                0.98818,             0.00059732,             0.00059732,             0.00059732
                    100,                0.34203,                0.45015,                0.29095,                0.87741,                0.61729,                0.61743,                0.58186,                0.48509,                0.61829,                0.61837,                0.58537,                0.47056,                0.39856,                 0.7498,                0.58758,                0.96506,             0.00058875,             0.00058875,             0.00058875
                    101,                0.32897,                0.42465,                0.27599,                0.86723,                0.58714,                0.59862,                0.58217,                0.51446,                0.58617,                0.59768,                0.57785,                0.50217,                0.38473,                0.86823,                0.63553,                 0.9479,             0.00058017,             0.00058017,             0.00058017
                    102,                0.33504,                0.43432,                0.32615,                0.87792,                0.67177,                0.58062,                0.58768,                0.51044,                0.67074,                0.57968,                0.58591,                0.49992,                0.40869,                 0.8757,                0.56578,                0.97933,              0.0005716,              0.0005716,              0.0005716
                    103,                0.33645,                0.43835,                0.28261,                0.87446,                0.69946,                0.57015,                 0.6575,                0.57476,                0.69892,                0.56835,                0.65781,                0.56641,                0.40617,                0.84696,                0.57901,                0.97694,             0.00056303,             0.00056303,             0.00056303
                    104,                0.34585,                0.43054,                0.30106,                0.87981,                0.68157,                0.59393,                 0.5933,                0.48287,                0.68056,                0.59299,                 0.5868,                0.46463,                0.40615,                0.94323,                0.62778,                0.97292,             0.00055445,             0.00055445,             0.00055445
                    105,                0.33917,                0.43752,                0.28981,                0.87569,                0.70167,                 0.6266,                0.63225,                0.54894,                0.70063,                0.62566,                0.63176,                0.53364,                0.39105,                0.87403,                0.54195,                0.96619,             0.00054588,             0.00054588,             0.00054588
                    106,                0.33111,                0.41776,                0.27472,                0.87346,                0.66338,                0.60581,                0.57301,                0.49146,                0.67564,                0.61414,                0.58722,                0.47311,                0.41238,                 0.8987,                0.61826,                0.98467,              0.0005373,              0.0005373,              0.0005373
                    107,                 0.3404,                0.42272,                0.29131,                0.88423,                0.69425,                0.59723,                0.59526,                0.48647,                0.65408,                0.66381,                0.61609,                0.47613,                0.39215,                0.82445,                0.55685,                0.95875,             0.00052873,             0.00052873,             0.00052873
